title,url,video_id,upload_date,duration,duration_seconds,view_count,like_count,description,tags,category,uploader,channel_id,transcript
Demo: Omni's MCP Server,https://www.youtube.com/watch?v=maxp_uZVib0,maxp_uZVib0,2025-07-16,07:46,466,33,2,"Today, we're excited to launch Omni's new MCP server.

Omni’s MCP server lets you plug into Omni wherever you’re already using LLMs (as long as they support MCPs). Anyone can ask a question about their data in their favorite AI interface, and the LLM will “borrow” Omni’s capabilities to return a result governed by your business logic and security protocols.

Data teams can set up the MCP server behind the scenes, and everyone can simply ask questions and get answers.

Unlike traditional text-to-SQL approaches, Omni’s semantic model helps prevent hallucinations and protect against data leakage. With the MCP server, AI queries inherit both access controls and business context defined in your semantic model. That means users only see data they’re allowed to access, and AI responses stay grounded in logic your team has already built.

To learn more, read our blog: https://omni.co/blog/introducing-omnis-mcp-server

0:00 Introduction
0:40 Use case 1: Marketing
2:48 Use case 2: Sales enablement
5:15 Use case 3: Revenue operations",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Omni's integration with Snowflake Semantic Views,https://www.youtube.com/watch?v=m5CnfB9Vb90,m5CnfB9Vb90,2025-06-03,02:22,142,472,2,"Want to learn how Omni works with Snowflake's new semantic views? 

This video from Omni co-founder Jamie Davidson shows how you can build Omni reports and dashboards from semantic views, and write DDL back to Snowflake using our APIs. 

This lets users analyze Snowflake semantic views using intuitive tools in Omni, including Excel functions, natural language querying, SQL or point-and-click insights. Teams can also prototype new metrics and dimensions in Omni workbooks and update the Snowflake semantic views in just a few clicks, so they keep pace with your business.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Manage changes with Omni's software development lifecycle controls,https://www.youtube.com/watch?v=CgbVv3wIimA,CgbVv3wIimA,2025-05-14,05:53,353,98,2,"In this demo, Omni solutions engineer Conor O'Mara walks through a common workflow for data analysts & engineers: making changes to your data, pulling those changes into your BI tool, and updating related content. 

For specifics about how these features help data teams adopt software development lifecycle practices to safely test and deploy at any scale, check out Conor's blog: https://omni.co/blog/managing-changes-with-omnis-sdlc-controls",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Using Snowflake Cortex & Omni together,https://www.youtube.com/watch?v=ehKGePC3xWM,ehKGePC3xWM,2025-05-02,08:16,496,146,2,"When you use Snowflake Cortex & Omni together, you can surface AI-generated insights on top of your Snowflake data directly to your end users. 

In this video, Peter Whitehead, Solutions Engineer at Omni, shows you a few ways to integrate AI into your Omni workflows with Cortex – covering data enrichment, summarization, sentiment analysis, and ChatGPT-style questions. For more, check out our blog: https://omni.co/blog/snowflake-cortex-and-omni",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
"AI in Omni, backed by a semantic model for accuracy",https://www.youtube.com/watch?v=Z8G2culbFWs,Z8G2culbFWs,2025-04-25,20:53,1253,416,2,"Omni helps anyone make smarter decisions with data by translating natural-language questions into accurate insights, powered by our semantic layer.

To use Omni's AI on your own data, sign up for a free demo: https://omni.co/demo

0:00 Intro
0:29 Getting started with AI
1:00 Querying data with AI
3:39 Creating new metrics with AI
6:00 Generating AI summaries and insights
7:47 Omni’s semantic model for AI accuracy
8:45 Adding AI context and metadata
9:57 Semantic model IDE for deeper AI context 
12:01 Fine-tuning AI results with AI context
15:58 Toggling AI features on and off
16:41 Using Snowflake & Databricks ML models in Omni
18:25 Bringing AI to your customers with embedded analytics and AI 
20:36 Conclusion",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Omnivision: Krzysztof Ławecki @Ramp  Network on reinventing their data experience,https://www.youtube.com/watch?v=VSa2W_rUV1M,VSa2W_rUV1M,2025-04-18,07:31,451,102,1,,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Omnivision: Edward Mancey @ Synthesia on Radical Self-Service,https://www.youtube.com/watch?v=axaHrmXGxEQ,axaHrmXGxEQ,2025-04-18,06:03,363,66,1,,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-04-11 AI Retry and Better AI Filters,https://www.youtube.com/watch?v=8sq0WWnfsYo,8sq0WWnfsYo,2025-04-18,07:48,468,42,0,Continuing work to make sure AI always returns results for natural language queries.  Plus lots of work to improve recall on time filters.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Intro to Omni: Omni Live 🎙️,https://www.youtube.com/watch?v=HMm8pTfeipI,HMm8pTfeipI,2025-04-03,41:49,2509,720,7,"Get an intro to Omni ft. our co-founder & CEO Colin Zima!

During this previously live session, Colin dives into the product for a demo. He discusses our approach to BI and AI, highlights the latest releases from our engineering team, and answers questions from the audience.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
"Data Input in Omni: Upload CSVs, enter new values, and write-back to your warehouse",https://www.youtube.com/watch?v=LeM5NmVWq9Y,LeM5NmVWq9Y,2025-03-26,11:02,662,154,0,"With Data Input in Omni, you can upload CSVs, enter new values, and write data back to your warehouse – without adding to the data team’s backlog.

If you'd like to try this out on your own data, we'd love to show you more: https://omni.co/demo",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Demo: Data Modeling in Omni,https://www.youtube.com/watch?v=nmNG81KWpxA,nmNG81KWpxA,2025-03-11,10:07,607,399,5,"In Omni, you can start exploring data instantly and build reusable, trustworthy metrics as you go.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Demo: Calculations in Omni,https://www.youtube.com/watch?v=XWkhKirKQHU,XWkhKirKQHU,2025-03-11,10:07,607,289,1,"Analyze real-time data with Excel formulas in Omni, giving you the familiarity of spreadsheet formulas with all the benefits of BI.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Heatmaps,https://www.youtube.com/watch?v=vSQV0sYN3tw,vSQV0sYN3tw,2025-02-28,00:53,53,65,0,"A bit of early work to open up heatmaps on our zoomable, pannable maps in Omni.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Perf Work,https://www.youtube.com/watch?v=uUhN6KtpmdA,uUhN6KtpmdA,2025-02-28,03:51,231,41,0,We're doing lots of work to make sure the app stays performant at extremely high concurrency.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-06 Commissions App,https://www.youtube.com/watch?v=tKBP9eNQeQ8,tKBP9eNQeQ8,2025-02-28,04:08,248,172,0,"This is the first app bringing together our new spreadsheet functionality alongside core BI use cases to build a real-time, permissioned commissions payment tool for sales ops.  Now sellers can see all quoted sales alongside payment structure, with infinite flexibility to control payout structures or bonus via the breadth of a spreadsheet.  No more importing and exporting and munging - now everything can be tied back to the sources of truth and update in real time.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Snowflake Cortex Plus Upload Dash,https://www.youtube.com/watch?v=rixXmu_SWkM,rixXmu_SWkM,2025-02-28,01:22,82,40,0,Arielle demos a dashboard bringing together lots of new product - an uploaded dataset of each Omnis walk-out song plus some Snowflake Cortex functions to tell folks about everyone's song choices.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Bunch of Design Polish,https://www.youtube.com/watch?v=skhHDoFP08Q,skhHDoFP08Q,2025-02-28,01:57,117,40,0,"Tons of improvements throughout the app - we removed the little blue spreadsheet box on tables unless you want it (great for screenshots), KPI alignment improvements, new controls for dashboard tile borders, and even a marketing website refresh.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Smart Labels Launch and Force Labels,https://www.youtube.com/watch?v=sd04cD7-Pfg,sd04cD7-Pfg,2025-02-28,03:24,204,66,0,"Smart labels have launched, and we added a release valve to force labels as well, for complete control when it's desired alongside the collision-less experience.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 CSV Upload Soft Launch,https://www.youtube.com/watch?v=rdHWMzHUpsI,rdHWMzHUpsI,2025-02-28,07:36,456,131,0,"The soft launch (feature flag) of CSV upload, plus lots of conversation around lifecycle management.  Note this will work in any supported dialects in Omni.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Dashboard Data Summary,https://www.youtube.com/watch?v=qrHrQO4WMCU,qrHrQO4WMCU,2025-02-28,01:56,116,92,0,An early demo of our new dashboard summarization tools - now you can chat with AI about your dashboard and understand takeaways and next steps.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Content Saving Modal,https://www.youtube.com/watch?v=fI9xXMaWikM,fI9xXMaWikM,2025-02-28,01:20,80,32,0,We polished up the content organization model with lots more metadata and navigation to make it easier to build and share dashboards and workbooks.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Search on Users Page,https://www.youtube.com/watch?v=b_QxjqXnv48,b_QxjqXnv48,2025-02-28,00:31,31,25,0,Making it that much faster to find the users you're looking for.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 dbt IDE,https://www.youtube.com/watch?v=_jt6gmAfrJI,_jt6gmAfrJI,2025-02-28,01:57,117,58,0,We've done a ton of work to improve the dbt IDE - fast metadata refresh; easier navigation in dbt branches; and full menus for context and actions.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Electron Customer Lookup App,https://www.youtube.com/watch?v=ScXdIAnpGS0,ScXdIAnpGS0,2025-02-28,02:45,165,71,0,Quick demo of a desktop Omni app built for quick customer lookups.  A great example of using embedded Omni + ChatGPT to build quick utilities.  Hit us up if you want the code.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Dynamic Slide Builder,https://www.youtube.com/watch?v=REV3w8QLyKo,REV3w8QLyKo,2025-02-28,04:05,245,53,0,"A new internal app for building slide decks using Salesforce data and a little bit of AI, piped to a clean Google slide deck.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Logs Lookup Tool,https://www.youtube.com/watch?v=JiJke-fgo3U,JiJke-fgo3U,2025-02-28,01:37,97,33,0,James shows off an internal app to quickly look up logs in AWS through intelligent deep links.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Dash Perf Tool,https://www.youtube.com/watch?v=JYpx1ebNLGM,JYpx1ebNLGM,2025-02-28,03:12,192,63,0,"Putting some of the final touches on the dashboard performance analysis tool - clarity on cache hits, data size, and load times across each tile of the dashboard.  We want to give data teams a full product suite for managing performance.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Color Promotion,https://www.youtube.com/watch?v=lHeuzjGu6PE,lHeuzjGu6PE,2025-02-28,01:37,97,50,0,The final step in our color work - now color mappings on specific visualizations can be pushed to an entire dashboard on the entire customer environment.  Color controls up and down the app.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Pie Colors and Else Colors,https://www.youtube.com/watch?v=Xp0vd_O9WpY,Xp0vd_O9WpY,2025-02-28,02:15,135,44,0,We extended modeled colors and front-end value controls to pie charts.  We also brought the final modeled piece to the UI with else colors to highlight specific sections.  The final touch will be promotion workflows.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Zapier to Slides,https://www.youtube.com/watch?v=J0PXylAix1I,J0PXylAix1I,2025-02-28,01:28,88,73,0,Demo of a new workflow to connect Omni contnet into Google Slides seamlessly via Zapier,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 More Beautiful Markdown Vis,https://www.youtube.com/watch?v=GX7Bn8UCpCw,GX7Bn8UCpCw,2025-02-28,01:36,96,90,0,Sarah shows off more of the potential with markdown visualizations.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Drafts in Branches,https://www.youtube.com/watch?v=FZTOFHKQV9k,FZTOFHKQV9k,2025-02-28,04:16,256,37,0,"The final step in our drafts work - some in progress work on lifting drafts into branches so several folks can iterate on dashboards together, including model or dbt changes.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Fast Filter Via Cache,https://www.youtube.com/watch?v=EAUKe_j182s,EAUKe_j182s,2025-02-28,01:22,82,57,0,"Now filters can cache indefinitely (well 30 days), but enough that they should never load fresh on a dashboard unless that's explicitly desired.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Support Login Controls,https://www.youtube.com/watch?v=8HMm1yO6wTk,8HMm1yO6wTk,2025-02-28,07:39,459,20,0,New controls to fine tune support access to customer environments.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 CSV Upload into Database (in any Dialect),https://www.youtube.com/watch?v=4CwRZfOwi0A,4CwRZfOwi0A,2025-02-28,09:53,593,112,0,"We brought CSV uploads from workbooks into the database.  Now your workbook CSVs can live in the database alongside the rest of your data, in any dialect you are using (yes, all of them).",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Tabbed Analytics and Some Perf,https://www.youtube.com/watch?v=48_81WME9PU,48_81WME9PU,2025-02-28,03:11,191,132,0,"We've added to tabs to our Omni analytics dashboard for simpler navigation, better organization, and faster performance.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Spreadsheet Input / Editable CSVs,https://www.youtube.com/watch?v=3e-evc4nzo8,3e-evc4nzo8,2025-02-28,03:03,183,57,0,Now you can touch and feel your CSV uploads.  We attached a full spreadsheet to the app for data input or tuning imported CSVs.  Now data input is as easy as spreadsheeting.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Workbook Quick Topics,https://www.youtube.com/watch?v=-opwKY05jPE,-opwKY05jPE,2025-02-28,01:50,110,40,0,"An early demo of new work to make support an entirely model-less experience.  We're building first class support for CSVs, tables, or even blank spreadsheets alongside the data model, pairing quick analysis to the deeper workflows and governance in the data model.  More to come here.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-14 Compound XLOOKUP,https://www.youtube.com/watch?v=A7FTCfdcfbE,A7FTCfdcfbE,2025-02-28,01:32,92,41,0,We've been doing some work to enable compound cross-tab references (ie XLOOKUP with concatenated keys).  Just makes life a bit easier for the complex use cases.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-02-21 Markdown Tooling,https://www.youtube.com/watch?v=4R43AZrt5nY,4R43AZrt5nY,2025-02-28,00:58,58,63,0,"We added some new functionality so that markdown builders can see the full Omni payload using {{ inspect }}, clarifying how to call anything in the result set.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
